drill,hole,mse,adaptive_threshold,prediction,label,drill_lead_time
drill_4mm_05_batch_00_collet_1_30-01-2025,100,66.38566,0.006043321,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,101,60.363777,0.006043321,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,102,62.693104,0.006043321,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,103,72.96056,0.006043321,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,104,60.778667,0.006043321,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,105,54.200283,0.006043321,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,106,57.32497,0.006043321,1.0,1,91
drill_4mm_06_batch_00_collet_1_30-01-2025,1,0.0002063823,0.00097036373,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,2,0.000980237,0.00097036373,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,3,0.00044611664,0.00097036373,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,4,0.00048657082,0.00097036373,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,5,0.00015182619,0.00097036373,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,6,1.3181481,0.00097036373,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,7,2.850584,0.00097036373,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,8,6.792392,0.00097036373,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,9,10.708404,0.00097036373,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,10,20.65888,0.00097036373,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,11,25.324963,0.00097036373,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,12,27.68456,0.00097036373,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,13,29.625578,0.00097036373,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,14,34.456573,0.00097036373,0.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,15,39.689224,0.00097036373,1.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,16,36.140816,0.00097036373,1.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,17,31.92829,0.00097036373,1.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,18,21.2715,0.00097036373,1.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,19,30.832148,0.00097036373,1.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,20,33.65922,0.00097036373,1.0,0,10
drill_4mm_06_batch_00_collet_1_30-01-2025,21,34.22763,0.00097036373,1.0,1,10
drill_4mm_06_batch_00_collet_1_30-01-2025,22,56.6973,0.00097036373,1.0,1,10
drill_4mm_06_batch_00_collet_1_30-01-2025,23,26.260199,0.00097036373,1.0,1,10
drill_4mm_06_batch_00_collet_1_30-01-2025,24,37.22653,0.00097036373,1.0,1,10
drill_4mm_06_batch_00_collet_1_30-01-2025,25,47.378227,0.00097036373,1.0,1,10
drill_4mm_07_batch_00_collet_1_31-01-2025,1,0.0009323144,0.010985635,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,2,0.011123107,0.010985635,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,3,0.0042495094,0.010985635,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,4,1.1739302e-05,0.010985635,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,5,0.00024459374,0.010985635,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,6,1.8821872,0.010985635,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,7,4.6694922,0.010985635,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,8,7.5352407,0.010985635,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,9,8.074137,0.010985635,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,10,9.211314,0.010985635,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,11,12.124675,0.010985635,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,12,14.756627,0.010985635,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,13,13.725231,0.010985635,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,14,13.159925,0.010985635,0.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,15,7.86988,0.010985635,1.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,16,6.368927,0.010985635,1.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,17,6.2713404,0.010985635,1.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,18,5.7396216,0.010985635,1.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,19,5.8682466,0.010985635,1.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,20,7.272468,0.010985635,1.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,21,8.440419,0.010985635,1.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,22,7.158554,0.010985635,1.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,23,8.854478,0.010985635,1.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,24,11.451881,0.010985635,1.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,25,12.964213,0.010985635,1.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,26,13.768513,0.010985635,1.0,0,17
drill_4mm_07_batch_00_collet_1_31-01-2025,27,14.503271,0.010985635,1.0,1,17
drill_4mm_07_batch_00_collet_1_31-01-2025,28,16.097153,0.010985635,1.0,1,17
drill_4mm_07_batch_00_collet_1_31-01-2025,29,14.980793,0.010985635,1.0,1,17
drill_4mm_07_batch_00_collet_1_31-01-2025,30,15.299638,0.010985635,1.0,1,17
