drill,hole,prob_xgb,label_real,threshold_xgb,prediction,drill_lead_time
drill_4mm_09_batch_00_collet_1_31-01-2025,13,0.0933308,0,0.1,0,41
drill_4mm_09_batch_00_collet_1_31-01-2025,14,0.0130766,0,0.1,0,41
drill_4mm_09_batch_00_collet_1_31-01-2025,15,0.11394263,0,0.1,0,41
drill_4mm_09_batch_00_collet_1_31-01-2025,16,0.1867745,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,17,0.44432712,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,18,0.26702523,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,19,0.35855323,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,20,0.6019158,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,21,0.37874773,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,22,0.4563758,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,23,0.41154027,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,24,0.8291984,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,25,0.46670687,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,26,0.8623954,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,27,0.7614002,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,28,0.45370835,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,29,0.26163048,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,30,0.37058756,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,31,0.9026065,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,32,0.57082826,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,33,0.414445,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,34,0.3292733,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,35,0.43556842,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,36,0.63556486,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,37,0.6328301,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,38,0.6880814,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,39,0.5473493,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,40,0.3298492,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,41,0.6790595,0,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,42,0.3302624,1,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,43,0.0602831,1,0.1,0,41
drill_4mm_09_batch_00_collet_1_31-01-2025,44,0.60325646,1,0.1,0,41
drill_4mm_09_batch_00_collet_1_31-01-2025,45,0.9222068,1,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,46,0.34239116,1,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,47,0.69671637,1,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,48,0.67361856,1,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,49,0.7316913,1,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,50,0.79818654,1,0.1,1,41
drill_4mm_09_batch_00_collet_1_31-01-2025,51,0.9784328,1,0.1,1,41
drill_4mm_10_batch_00_collet_1_04-02-2025,1,0.017998485,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,2,0.6693695,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,3,0.24694805,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,4,0.008730421,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,5,0.00925383,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,6,0.07136078,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,7,0.14004628,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,8,0.06518086,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,9,0.8876907,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,10,0.3812968,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,11,0.35240674,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,12,0.06292717,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,13,0.1266071,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,14,0.49278232,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,15,0.48326486,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,16,0.20731214,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,17,0.51104265,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,18,0.5707478,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,19,0.52322596,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,20,0.24145126,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,21,0.5074538,0,0.6271274089813232,0,32
drill_4mm_10_batch_00_collet_1_04-02-2025,22,0.955802,0,0.6271274089813232,0,32
