drill,hole,score,prediction,label
drill_4mm_07,42,0.5422998070716858,0,0
drill_4mm_07,43,0.7473548054695129,0,0
drill_4mm_07,44,0.8208489418029785,1,0
drill_4mm_07,45,0.5612326264381409,0,0
drill_4mm_07,46,0.5680669546127319,0,0
drill_4mm_07,47,0.3825010061264038,0,0
drill_4mm_07,48,0.30882716178894043,0,0
drill_4mm_07,49,0.14776146411895752,0,1
drill_4mm_07,50,0.9227613806724548,0,1
drill_4mm_07,51,0.9129961729049683,1,1
drill_4mm_07,52,0.5803646445274353,0,1
drill_4mm_07,53,0.883147120475769,0,1
drill_4mm_07,54,0.7315729856491089,1,1
drill_4mm_07,55,0.7753296494483948,1,1
drill_4mm_07,56,0.8181768655776978,1,1
drill_4mm_07,57,0.17134007811546326,0,1
drill_4mm_07,58,0.7393415570259094,0,1
drill_4mm_07,59,0.8746215105056763,1,1
drill_4mm_08,1,0.009501676075160503,0,0
drill_4mm_08,2,0.005099484696984291,0,0
drill_4mm_08,3,0.002719051670283079,0,0
drill_4mm_08,4,0.004876165185123682,0,0
drill_4mm_08,5,0.12637926638126373,0,0
drill_4mm_08,6,0.07392602413892746,0,0
drill_4mm_08,7,0.3426627516746521,0,0
drill_4mm_08,8,0.3984543979167938,1,0
drill_4mm_08,9,0.5817670226097107,1,0
drill_4mm_08,10,0.5556172132492065,1,0
drill_4mm_08,11,0.4358559846878052,1,0
drill_4mm_08,12,0.4539944529533386,1,0
drill_4mm_08,13,0.5075215101242065,1,0
drill_4mm_08,14,0.5759454965591431,1,0
drill_4mm_08,15,0.7631175518035889,1,0
drill_4mm_08,16,0.8821931481361389,1,0
drill_4mm_08,17,0.8279780745506287,1,1
drill_4mm_08,18,0.6543959379196167,1,1
drill_4mm_08,19,0.7693274617195129,1,1
drill_4mm_09,1,0.004490323830395937,0,0
drill_4mm_09,2,0.003889546263962984,0,0
drill_4mm_09,3,0.00195165048353374,0,0
drill_4mm_09,4,0.0017786521930247545,0,0
drill_4mm_09,5,0.002217876026406884,0,0
drill_4mm_09,6,0.0023356880992650986,0,0
drill_4mm_09,7,0.013624941930174828,0,0
drill_4mm_09,8,0.0141415661200881,0,0
drill_4mm_09,9,0.009470568969845772,0,0
drill_4mm_09,10,0.02463587373495102,0,0
drill_4mm_09,11,0.03265153616666794,0,0
drill_4mm_09,12,0.09364701062440872,0,0
drill_4mm_09,13,0.09008273482322693,0,0
drill_4mm_09,14,0.10488324612379074,0,0
drill_4mm_09,15,0.31487175822257996,1,1
drill_4mm_09,16,0.5734809041023254,1,1
drill_4mm_09,17,0.7406348586082458,1,1
drill_4mm_10,1,0.019224967807531357,0,0
drill_4mm_10,2,0.007862410508096218,0,0
drill_4mm_10,3,0.01863289810717106,0,0
drill_4mm_10,4,0.004445308353751898,0,0
drill_4mm_10,5,0.027108632028102875,0,0
drill_4mm_10,6,0.17903761565685272,0,0
drill_4mm_10,7,0.11732841283082962,1,0
drill_4mm_10,8,0.1625714749097824,1,0
drill_4mm_10,9,0.11465130001306534,1,0
drill_4mm_10,10,0.1551423966884613,1,0
drill_4mm_10,11,0.07988275587558746,0,0
drill_4mm_10,12,0.008387966081500053,0,0
drill_4mm_10,13,0.1068618893623352,0,0
drill_4mm_10,14,0.2371448129415512,1,0
drill_4mm_10,15,0.2297089546918869,1,0
drill_4mm_10,16,0.24942369759082794,1,1
drill_4mm_10,17,0.9510855674743652,1,1
drill_4mm_10,18,0.09363740682601929,0,1
drill_4mm_11,1,0.04174233227968216,0,0
drill_4mm_11,2,0.00604039803147316,0,0
drill_4mm_11,3,0.01531769335269928,0,0
drill_4mm_11,4,0.017186952754855156,0,0
drill_4mm_11,5,0.008418289944529533,0,0
drill_4mm_11,6,0.01428466010838747,0,0
drill_4mm_11,7,0.015383199788630009,0,0
drill_4mm_11,8,0.04781342297792435,0,0
drill_4mm_11,9,0.2138904333114624,0,0
drill_4mm_11,10,0.30669930577278137,1,0
drill_4mm_11,11,0.11975757032632828,1,0
drill_4mm_11,12,0.1494494378566742,1,0
drill_4mm_11,13,0.7565997242927551,1,0
drill_4mm_11,14,0.9382637739181519,1,0
drill_4mm_11,15,0.05018187686800957,0,0
drill_4mm_11,16,0.3276609182357788,0,0
drill_4mm_11,17,0.1580847203731537,1,0
drill_4mm_11,18,0.1544131487607956,1,1
drill_4mm_11,19,0.21121791005134583,1,1
drill_4mm_11,20,0.03146417438983917,0,1
drill_4mm_11,21,0.9254966378211975,0,1
drill_4mm_12,1,0.01945037581026554,0,0
