drill,hole,score,label,threshold,prediction,drill_lead_time
drill_4mm_05_batch_00_collet_1_30-01-2025,36,0.02619508,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,37,0.0039918725,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,38,0.008689892,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,39,0.033996932,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,40,0.21967961,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,41,0.016533572,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,42,0.8593048,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,43,0.12348579,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,44,0.097533405,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,45,0.4507355,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,46,0.39323667,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,47,0.560152,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,48,0.20969172,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,49,0.32309645,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,50,0.25509924,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,51,0.40894657,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,52,0.13522416,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,53,0.016814182,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,54,0.021675436,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,55,0.1321968,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,56,0.39724347,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,57,0.02044079,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,58,0.036276918,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,59,0.020044439,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,60,0.09186423,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,61,0.061379302,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,62,0.6077087,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,63,0.20822515,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,64,0.36512163,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,65,0.08857799,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,66,0.12796842,0,0.1,0,63
drill_4mm_05_batch_00_collet_1_30-01-2025,67,0.2749218,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,68,0.8117932,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,69,0.46898898,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,70,0.5282562,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,71,0.35316336,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,72,0.2707665,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,73,0.4736901,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,74,0.728217,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,75,0.5308579,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,76,0.75929666,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,77,0.90133375,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,78,0.6266392,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,79,0.538534,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,80,0.52013284,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,81,0.58643353,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,82,0.70523703,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,83,0.49254844,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,84,0.5188627,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,85,0.16373757,0,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,86,0.4406663,1,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,87,0.64077574,1,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,88,0.22247654,1,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,89,0.40441987,1,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,90,0.7587394,1,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,91,0.7848108,1,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,92,0.49737576,1,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,93,0.91885495,1,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,94,0.9114466,1,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,95,0.34724164,1,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,96,0.95773596,1,0.1,1,63
drill_4mm_05_batch_00_collet_1_30-01-2025,97,0.136278,1,0.1,1,63
