drill,hole,hybrid_mse,prediction,label
drill_4mm_09,1,0.0,0,0
drill_4mm_09,2,0.0,0,0
drill_4mm_09,3,0.0,0,0
drill_4mm_09,4,0.0,0,0
drill_4mm_09,5,0.0,0,0
drill_4mm_09,6,0.0,0,0
drill_4mm_09,7,0.0,0,0
drill_4mm_09,8,0.0,0,0
drill_4mm_09,9,0.0,0,0
drill_4mm_09,10,1.8805527687072754,0,0
drill_4mm_09,11,2.3673930168151855,0,0
drill_4mm_09,12,3.510784387588501,0,0
drill_4mm_09,13,6.243454933166504,0,0
drill_4mm_09,14,9.161876678466797,0,0
drill_4mm_09,15,10.480459213256836,0,0
drill_4mm_09,16,9.685746192932129,0,0
drill_4mm_09,17,10.258790969848633,0,0
drill_4mm_09,18,12.556435585021973,1,0
drill_4mm_09,19,12.681403160095215,1,0
drill_4mm_09,20,13.219593048095703,1,0
drill_4mm_09,21,13.540611267089844,1,0
drill_4mm_09,22,13.686567306518555,1,0
drill_4mm_09,23,13.772628784179688,1,0
drill_4mm_09,24,14.786981582641602,1,0
drill_4mm_09,25,14.74690055847168,1,0
drill_4mm_09,26,15.948360443115234,1,0
drill_4mm_09,27,18.41438865661621,1,0
drill_4mm_09,28,18.681976318359375,1,0
drill_4mm_09,29,20.592267990112305,1,0
drill_4mm_09,30,21.311918258666992,1,0
drill_4mm_09,31,21.061565399169922,1,0
drill_4mm_09,32,20.90203285217285,1,0
drill_4mm_09,33,20.63232421875,1,0
drill_4mm_09,34,19.939552307128906,1,0
drill_4mm_09,35,19.667312622070312,1,0
drill_4mm_09,36,19.4406795501709,1,0
drill_4mm_09,37,17.71280288696289,1,0
drill_4mm_09,38,17.014320373535156,1,0
drill_4mm_09,39,15.137635231018066,1,0
drill_4mm_09,40,14.835869789123535,1,0
drill_4mm_09,41,15.758091926574707,1,0
drill_4mm_09,42,16.212486267089844,1,1
drill_4mm_09,43,16.97461700439453,1,1
drill_4mm_09,44,18.474384307861328,1,1
drill_4mm_09,45,17.879281997680664,1,1
drill_4mm_09,46,17.008987426757812,1,1
drill_4mm_09,47,17.92230987548828,1,1
drill_4mm_09,48,18.3399715423584,1,1
drill_4mm_09,49,19.033050537109375,1,1
drill_4mm_09,50,28.166608810424805,1,1
drill_4mm_09,51,27.203996658325195,1,1
drill_4mm_10,1,0.0,0,0
drill_4mm_10,2,0.0,0,0
drill_4mm_10,3,0.0,0,0
drill_4mm_10,4,0.0,0,0
drill_4mm_10,5,0.0,0,0
drill_4mm_10,6,0.0,0,0
drill_4mm_10,7,0.0,0,0
drill_4mm_10,8,0.0,0,0
drill_4mm_10,9,0.0,0,0
drill_4mm_10,10,1.107020378112793,0,0
drill_4mm_10,11,1.1755918264389038,0,0
drill_4mm_10,12,1.237801432609558,0,0
drill_4mm_10,13,1.4738543033599854,0,0
drill_4mm_10,14,2.0577874183654785,0,0
drill_4mm_10,15,2.111332893371582,0,0
drill_4mm_10,16,2.3945393562316895,0,0
drill_4mm_10,17,2.572601079940796,0,0
drill_4mm_10,18,2.6714565753936768,1,0
drill_4mm_10,19,3.0687906742095947,1,0
drill_4mm_10,20,3.702451229095459,1,0
drill_4mm_10,21,3.749058246612549,1,0
drill_4mm_10,22,3.8246517181396484,1,0
drill_4mm_10,23,4.0671467781066895,1,0
drill_4mm_10,24,4.291942119598389,1,0
drill_4mm_10,25,4.662387847900391,1,0
drill_4mm_10,26,4.736897945404053,1,0
drill_4mm_10,27,5.048583507537842,1,0
drill_4mm_10,28,5.295300483703613,1,0
drill_4mm_10,29,5.350827693939209,1,0
drill_4mm_10,30,5.3217878341674805,1,0
drill_4mm_10,31,5.140580654144287,1,0
drill_4mm_10,32,5.273110866546631,1,0
drill_4mm_10,33,5.116673469543457,1,0
drill_4mm_10,34,5.103891849517822,1,0
drill_4mm_10,35,4.996694087982178,1,0
drill_4mm_10,36,5.136160850524902,1,0
drill_4mm_10,37,5.145977020263672,1,0
drill_4mm_10,38,4.821373462677002,1,0
drill_4mm_10,39,4.383247375488281,1,0
drill_4mm_10,40,4.563446521759033,1,0
drill_4mm_10,41,4.768088340759277,1,0
drill_4mm_10,42,4.99446439743042,1,0
drill_4mm_10,43,5.44033670425415,1,0
drill_4mm_10,44,5.237360000610352,1,0
drill_4mm_10,45,5.035927772521973,1,0
drill_4mm_10,46,4.975264072418213,1,0
drill_4mm_10,47,4.952140808105469,1,0
drill_4mm_10,48,4.898280620574951,1,0
drill_4mm_10,49,5.335692405700684,1,1
drill_4mm_10,50,6.0758233070373535,1,1
drill_4mm_10,51,5.335062026977539,1,1
drill_4mm_10,52,5.532528877258301,1,1
drill_4mm_10,53,5.060512065887451,1,1
drill_4mm_10,54,4.919159412384033,1,1
drill_4mm_10,55,5.131636142730713,1,1
drill_4mm_10,56,5.248903274536133,1,1
drill_4mm_10,57,5.160273551940918,1,1
drill_4mm_10,58,4.765230655670166,1,1
drill_4mm_10,59,5.251652240753174,1,1
drill_4mm_11,1,0.0,0,0
drill_4mm_11,2,0.0,0,0
drill_4mm_11,3,0.0,0,0
drill_4mm_11,4,0.0,0,0
drill_4mm_11,5,0.0,0,0
drill_4mm_11,6,0.0,0,0
drill_4mm_11,7,0.0,0,0
drill_4mm_11,8,0.0,0,0
drill_4mm_11,9,0.0,0,0
drill_4mm_11,10,1.612621784210205,0,0
drill_4mm_11,11,2.034982919692993,0,0
drill_4mm_11,12,3.169651508331299,0,0
drill_4mm_11,13,4.334034442901611,0,0
drill_4mm_11,14,5.717983245849609,0,0
drill_4mm_11,15,6.749022960662842,0,0
drill_4mm_11,16,6.483093738555908,0,0
drill_4mm_11,17,7.122232913970947,0,1
drill_4mm_11,18,9.810486793518066,1,1
drill_4mm_11,19,9.011435508728027,1,1
drill_4mm_12,1,0.0,0,0
drill_4mm_12,2,0.0,0,0
drill_4mm_12,3,0.0,0,0
drill_4mm_12,4,0.0,0,0
drill_4mm_12,5,0.0,0,0
drill_4mm_12,6,0.0,0,0
drill_4mm_12,7,0.0,0,0
drill_4mm_12,8,0.0,0,0
drill_4mm_12,9,0.0,0,0
drill_4mm_12,10,1.7891660928726196,0,0
drill_4mm_12,11,2.326214551925659,0,0
drill_4mm_12,12,4.984661102294922,0,0
drill_4mm_12,13,8.271332740783691,0,0
drill_4mm_12,14,11.378284454345703,0,0
drill_4mm_12,15,13.620136260986328,0,1
drill_4mm_12,16,21.40692710876465,0,1
drill_4mm_12,17,21.31248664855957,0,1
drill_4mm_13,1,0.0,0,0
drill_4mm_13,2,0.0,0,0
drill_4mm_13,3,0.0,0,0
drill_4mm_13,4,0.0,0,0
drill_4mm_13,5,0.0,0,0
drill_4mm_13,6,0.0,0,0
drill_4mm_13,7,0.0,0,0
drill_4mm_13,8,0.0,0,0
drill_4mm_13,9,0.0,0,0
drill_4mm_13,10,1.8953553438186646,0,0
drill_4mm_13,11,2.4352078437805176,0,0
drill_4mm_13,12,4.477779865264893,0,0
drill_4mm_13,13,9.878180503845215,0,0
drill_4mm_13,14,6.814515113830566,0,0
drill_4mm_13,15,14.414931297302246,0,0
drill_4mm_13,16,13.718628883361816,0,1
drill_4mm_13,17,70.96819305419922,0,1
drill_4mm_13,18,17.11001205444336,1,1
drill_4mm_14,1,0.0,0,0
drill_4mm_14,2,0.0,0,0
drill_4mm_14,3,0.0,0,0
drill_4mm_14,4,0.0,0,0
drill_4mm_14,5,0.0,0,0
drill_4mm_14,6,0.0,0,0
drill_4mm_14,7,0.0,0,0
drill_4mm_14,8,0.0,0,0
drill_4mm_14,9,0.0,0,0
drill_4mm_14,10,1.952557921409607,0,0
drill_4mm_14,11,5.4465436935424805,0,0
drill_4mm_14,12,5.3209309577941895,0,0
drill_4mm_14,13,11.505657196044922,0,0
drill_4mm_14,14,20.065696716308594,0,0
drill_4mm_14,15,19.227561950683594,0,0
drill_4mm_14,16,19.603519439697266,0,0
drill_4mm_14,17,21.306541442871094,0,0
drill_4mm_14,18,26.951557159423828,1,1
drill_4mm_14,19,37.24805450439453,1,1
drill_4mm_14,20,174.18777465820312,1,1
drill_4mm_14,21,136.54293823242188,1,1
drill_4mm_15,1,0.0,0,0
drill_4mm_15,2,0.0,0,0
drill_4mm_15,3,0.0,0,0
drill_4mm_15,4,0.0,0,0
drill_4mm_15,5,0.0,0,0
drill_4mm_15,6,0.0,0,0
drill_4mm_15,7,0.0,0,0
drill_4mm_15,8,0.0,0,0
drill_4mm_15,9,0.0,0,0
drill_4mm_15,10,1.6265709400177002,0,0
drill_4mm_15,11,2.116603374481201,0,0
drill_4mm_15,12,2.56533145904541,0,0
drill_4mm_15,13,3.780043601989746,0,0
drill_4mm_15,14,7.951314926147461,0,0
drill_4mm_15,15,9.114753723144531,0,0
drill_4mm_15,16,9.542177200317383,0,0
drill_4mm_15,17,10.662094116210938,0,0
drill_4mm_15,18,12.154712677001953,1,0
drill_4mm_15,19,13.573625564575195,1,0
drill_4mm_15,20,15.314658164978027,1,0
drill_4mm_15,21,16.724567413330078,1,0
drill_4mm_15,22,19.86794090270996,1,0
drill_4mm_15,23,21.85225486755371,1,0
drill_4mm_15,24,17.901697158813477,1,0
drill_4mm_15,25,18.371816635131836,1,0
drill_4mm_15,26,19.318634033203125,1,0
drill_4mm_15,27,20.069732666015625,1,0
drill_4mm_15,28,20.426366806030273,1,0
drill_4mm_15,29,21.21525764465332,1,0
drill_4mm_15,30,21.70954704284668,1,0
drill_4mm_15,31,19.88701629638672,1,0
drill_4mm_15,32,18.702810287475586,1,0
drill_4mm_15,33,19.243236541748047,1,0
drill_4mm_15,34,18.771705627441406,1,0
drill_4mm_15,35,18.14976692199707,1,0
drill_4mm_15,36,17.504121780395508,1,0
drill_4mm_15,37,16.84529685974121,1,1
drill_4mm_15,38,15.157729148864746,1,1
drill_4mm_15,39,13.293903350830078,1,1
drill_4mm_15,40,12.138676643371582,1,1
drill_4mm_15,41,13.515398025512695,1,1
drill_4mm_15,42,13.353482246398926,1,1
drill_4mm_15,43,12.529264450073242,1,1
drill_4mm_15,44,11.141423225402832,1,1
drill_4mm_16,1,0.0,0,0
drill_4mm_16,2,0.0,0,0
drill_4mm_16,3,0.0,0,0
drill_4mm_16,4,0.0,0,0
drill_4mm_16,5,0.0,0,0
drill_4mm_16,6,0.0,0,0
drill_4mm_16,7,0.0,0,0
drill_4mm_16,8,0.0,0,0
drill_4mm_16,9,0.0,0,0
drill_4mm_16,10,1.8786333799362183,0,0
drill_4mm_16,11,2.3004958629608154,0,0
drill_4mm_16,12,4.151150226593018,0,0
drill_4mm_16,13,6.43827486038208,0,0
drill_4mm_16,14,7.366340160369873,0,0
drill_4mm_16,15,8.474105834960938,0,0
drill_4mm_16,16,9.271440505981445,0,0
drill_4mm_16,17,14.230315208435059,0,0
drill_4mm_16,18,12.952214241027832,1,0
drill_4mm_16,19,16.819561004638672,1,0
drill_4mm_16,20,15.099730491638184,1,0
drill_4mm_16,21,16.85271644592285,1,0
drill_4mm_16,22,18.336139678955078,1,0
drill_4mm_16,23,18.580982208251953,1,0
drill_4mm_16,24,19.2467041015625,1,0
drill_4mm_16,25,23.44424819946289,1,0
drill_4mm_16,26,23.261627197265625,1,0
drill_4mm_16,27,22.915019989013672,1,0
drill_4mm_16,28,24.606990814208984,1,0
drill_4mm_16,29,22.507431030273438,1,0
drill_4mm_16,30,24.5328311920166,1,0
drill_4mm_16,31,24.266986846923828,1,0
drill_4mm_16,32,23.23300552368164,1,1
drill_4mm_16,33,25.892597198486328,1,1
drill_4mm_16,34,22.07265853881836,1,1
drill_4mm_16,35,20.60287857055664,1,1
drill_4mm_16,36,19.854080200195312,1,1
drill_4mm_16,37,18.738094329833984,1,1
drill_4mm_16,38,18.650514602661133,1,1
drill_4mm_17,1,0.0,0,0
drill_4mm_17,2,0.0,0,0
drill_4mm_17,3,0.0,0,0
drill_4mm_17,4,0.0,0,0
drill_4mm_17,5,0.0,0,0
drill_4mm_17,6,0.0,0,0
drill_4mm_17,7,0.0,0,0
drill_4mm_17,8,0.0,0,0
drill_4mm_17,9,0.0,0,0
drill_4mm_17,10,1.1194075345993042,0,0
drill_4mm_17,11,1.015723466873169,0,0
drill_4mm_17,12,1.20888352394104,0,0
drill_4mm_17,13,1.792126178741455,0,0
drill_4mm_17,14,2.158681631088257,0,0
drill_4mm_17,15,2.391815423965454,0,0
drill_4mm_17,16,3.06386661529541,0,0
drill_4mm_17,17,3.3334438800811768,0,1
drill_4mm_17,18,4.270487308502197,0,1
drill_4mm_17,19,3.7472071647644043,1,1
drill_4mm_18,1,0.0,0,0
drill_4mm_18,2,0.0,0,0
drill_4mm_18,3,0.0,0,0
drill_4mm_18,4,0.0,0,0
drill_4mm_18,5,0.0,0,0
drill_4mm_18,6,0.0,0,0
drill_4mm_18,7,0.0,0,0
drill_4mm_18,8,0.0,0,0
drill_4mm_18,9,0.0,0,0
drill_4mm_18,10,1.0301371812820435,0,0
drill_4mm_18,11,1.1999644041061401,0,0
drill_4mm_18,12,1.812951683998108,0,0
drill_4mm_18,13,2.0207557678222656,0,0
