drill,hole,hybrid_mse,prediction,label
drill_4mm_05,19,17.94528579711914,1,1
drill_4mm_05,20,62.337379455566406,1,1
drill_4mm_05,21,31.84547996520996,1,1
drill_4mm_06,1,0.0,0,0
drill_4mm_06,2,0.0,0,0
drill_4mm_06,3,0.0,0,0
drill_4mm_06,4,0.0,0,0
drill_4mm_06,5,0.0,0,0
drill_4mm_06,6,0.0,0,0
drill_4mm_06,7,0.0,0,0
drill_4mm_06,8,0.0,0,0
drill_4mm_06,9,0.0,0,0
drill_4mm_06,10,2.022407054901123,0,0
drill_4mm_06,11,4.1477251052856445,0,0
drill_4mm_06,12,6.388733386993408,0,0
drill_4mm_06,13,9.194003105163574,0,0
drill_4mm_06,14,11.863036155700684,0,0
drill_4mm_06,15,13.946868896484375,0,0
drill_4mm_06,16,16.724409103393555,0,0
drill_4mm_06,17,18.324216842651367,0,0
drill_4mm_06,18,20.520723342895508,1,0
drill_4mm_06,19,21.044309616088867,1,0
drill_4mm_06,20,23.48019027709961,1,0
drill_4mm_06,21,24.787803649902344,1,0
drill_4mm_06,22,25.686193466186523,1,0
drill_4mm_06,23,26.44115447998047,1,0
drill_4mm_06,24,29.232635498046875,1,0
drill_4mm_06,25,25.80416488647461,1,0
drill_4mm_06,26,30.652097702026367,1,0
drill_4mm_06,27,34.945072174072266,1,0
drill_4mm_06,28,33.602481842041016,1,0
drill_4mm_06,29,51.50394821166992,1,0
drill_4mm_06,30,33.59246826171875,1,0
drill_4mm_06,31,29.23187828063965,1,0
drill_4mm_06,32,30.912504196166992,1,0
drill_4mm_06,33,27.362112045288086,1,0
drill_4mm_06,34,26.83717918395996,1,0
drill_4mm_06,35,31.132150650024414,1,0
drill_4mm_06,36,35.095794677734375,1,0
drill_4mm_06,37,34.890525817871094,1,0
drill_4mm_06,38,38.93476867675781,1,0
drill_4mm_06,39,30.645368576049805,1,0
drill_4mm_06,40,22.37516975402832,1,0
drill_4mm_06,41,21.816801071166992,1,0
drill_4mm_06,42,23.326278686523438,1,1
drill_4mm_06,43,23.31180763244629,1,1
drill_4mm_06,44,29.126380920410156,1,1
drill_4mm_06,45,30.296348571777344,1,1
drill_4mm_06,46,30.464431762695312,1,1
drill_4mm_06,47,33.51643753051758,1,1
drill_4mm_06,48,30.7333984375,1,1
drill_4mm_06,49,33.27836227416992,1,1
drill_4mm_06,50,75.3845443725586,1,1
drill_4mm_06,51,36.924949645996094,1,1
drill_4mm_07,1,0.0,0,0
drill_4mm_07,2,0.0,0,0
drill_4mm_07,3,0.0,0,0
drill_4mm_07,4,0.0,0,0
drill_4mm_07,5,0.0,0,0
drill_4mm_07,6,0.0,0,0
drill_4mm_07,7,0.0,0,0
drill_4mm_07,8,0.0,0,0
drill_4mm_07,9,0.0,0,0
drill_4mm_07,10,1.2426016330718994,0,0
drill_4mm_07,11,1.611926555633545,0,0
drill_4mm_07,12,2.2338204383850098,0,0
drill_4mm_07,13,2.857412815093994,0,0
drill_4mm_07,14,2.9436275959014893,0,0
drill_4mm_07,15,4.352077960968018,0,0
drill_4mm_07,16,7.171624660491943,0,0
drill_4mm_07,17,10.904994010925293,0,0
drill_4mm_07,18,12.985085487365723,1,0
drill_4mm_07,19,17.330888748168945,1,0
drill_4mm_07,20,22.754899978637695,1,0
drill_4mm_07,21,32.83681106567383,1,0
drill_4mm_07,22,31.202924728393555,1,0
drill_4mm_07,23,38.91147994995117,1,0
drill_4mm_07,24,38.57895278930664,1,0
drill_4mm_07,25,42.96174621582031,1,0
drill_4mm_07,26,36.28516387939453,1,0
drill_4mm_07,27,34.60915756225586,1,0
drill_4mm_07,28,33.1932373046875,1,0
drill_4mm_07,29,23.278366088867188,1,0
drill_4mm_07,30,27.929758071899414,1,0
drill_4mm_07,31,32.24317932128906,1,0
drill_4mm_07,32,20.798986434936523,1,0
drill_4mm_07,33,23.784774780273438,1,0
drill_4mm_07,34,26.42523765563965,1,0
drill_4mm_07,35,31.694377899169922,1,0
drill_4mm_07,36,23.85662269592285,1,0
drill_4mm_07,37,26.692384719848633,1,0
drill_4mm_07,38,21.876850128173828,1,0
drill_4mm_07,39,11.074835777282715,1,0
drill_4mm_07,40,35.198055267333984,1,0
drill_4mm_07,41,32.06490707397461,1,0
drill_4mm_07,42,33.287452697753906,1,0
drill_4mm_07,43,36.89628982543945,1,0
drill_4mm_07,44,43.60418701171875,1,0
drill_4mm_07,45,40.25563049316406,1,0
drill_4mm_07,46,34.40245056152344,1,0
drill_4mm_07,47,41.307254791259766,1,0
drill_4mm_07,48,34.65343475341797,1,0
drill_4mm_07,49,38.38254928588867,1,1
drill_4mm_07,50,13.125030517578125,1,1
drill_4mm_07,51,18.633968353271484,1,1
drill_4mm_07,52,29.919944763183594,1,1
drill_4mm_07,53,25.299558639526367,1,1
drill_4mm_07,54,28.84910011291504,1,1
drill_4mm_07,55,32.74469757080078,1,1
drill_4mm_07,56,28.93340301513672,1,1
drill_4mm_07,57,34.41307067871094,1,1
drill_4mm_07,58,27.730953216552734,1,1
drill_4mm_07,59,24.660707473754883,1,1
drill_4mm_08,1,0.0,0,0
drill_4mm_08,2,0.0,0,0
drill_4mm_08,3,0.0,0,0
drill_4mm_08,4,0.0,0,0
drill_4mm_08,5,0.0,0,0
drill_4mm_08,6,0.0,0,0
drill_4mm_08,7,0.0,0,0
drill_4mm_08,8,0.0,0,0
drill_4mm_08,9,0.0,0,0
drill_4mm_08,10,3.0114293098449707,0,0
drill_4mm_08,11,4.860916614532471,0,0
drill_4mm_08,12,6.814838409423828,0,0
drill_4mm_08,13,8.599437713623047,0,0
drill_4mm_08,14,10.458155632019043,0,0
drill_4mm_08,15,12.664822578430176,0,0
drill_4mm_08,16,17.62411880493164,0,0
drill_4mm_08,17,16.3225040435791,0,1
drill_4mm_08,18,17.762619018554688,1,1
drill_4mm_08,19,32.21065902709961,1,1
drill_4mm_09,1,0.0,0,0
drill_4mm_09,2,0.0,0,0
drill_4mm_09,3,0.0,0,0
drill_4mm_09,4,0.0,0,0
drill_4mm_09,5,0.0,0,0
drill_4mm_09,6,0.0,0,0
drill_4mm_09,7,0.0,0,0
drill_4mm_09,8,0.0,0,0
drill_4mm_09,9,0.0,0,0
drill_4mm_09,10,2.357226610183716,0,0
drill_4mm_09,11,4.128404140472412,0,0
drill_4mm_09,12,5.898556232452393,0,0
drill_4mm_09,13,8.832207679748535,0,0
drill_4mm_09,14,17.321243286132812,0,0
drill_4mm_09,15,19.6827335357666,0,1
drill_4mm_09,16,31.204357147216797,0,1
drill_4mm_09,17,35.042049407958984,0,1
drill_4mm_10,1,0.0,0,0
drill_4mm_10,2,0.0,0,0
drill_4mm_10,3,0.0,0,0
drill_4mm_10,4,0.0,0,0
drill_4mm_10,5,0.0,0,0
drill_4mm_10,6,0.0,0,0
drill_4mm_10,7,0.0,0,0
drill_4mm_10,8,0.0,0,0
drill_4mm_10,9,0.0,0,0
drill_4mm_10,10,1.8989388942718506,0,0
drill_4mm_10,11,2.443023443222046,0,0
drill_4mm_10,12,5.120718002319336,0,0
drill_4mm_10,13,5.723028182983398,0,0
drill_4mm_10,14,6.430992603302002,0,0
drill_4mm_10,15,12.74960708618164,0,0
drill_4mm_10,16,13.446332931518555,0,1
drill_4mm_10,17,18.95155143737793,0,1
drill_4mm_10,18,18.181781768798828,1,1
drill_4mm_11,1,0.0,0,0
drill_4mm_11,2,0.0,0,0
drill_4mm_11,3,0.0,0,0
drill_4mm_11,4,0.0,0,0
drill_4mm_11,5,0.0,0,0
drill_4mm_11,6,0.0,0,0
drill_4mm_11,7,0.0,0,0
drill_4mm_11,8,0.0,0,0
drill_4mm_11,9,0.0,0,0
drill_4mm_11,10,1.6290596723556519,0,0
drill_4mm_11,11,3.764147996902466,0,0
drill_4mm_11,12,4.303445816040039,0,0
drill_4mm_11,13,12.241397857666016,0,0
drill_4mm_11,14,14.429811477661133,0,0
drill_4mm_11,15,15.868847846984863,0,0
drill_4mm_11,16,17.15213394165039,0,0
drill_4mm_11,17,19.101505279541016,0,0
drill_4mm_11,18,20.74049949645996,1,1
drill_4mm_11,19,26.15709114074707,1,1
drill_4mm_11,20,24.497920989990234,1,1
drill_4mm_11,21,26.28961181640625,1,1
drill_4mm_12,1,0.0,0,0
drill_4mm_12,2,0.0,0,0
drill_4mm_12,3,0.0,0,0
drill_4mm_12,4,0.0,0,0
drill_4mm_12,5,0.0,0,0
drill_4mm_12,6,0.0,0,0
drill_4mm_12,7,0.0,0,0
drill_4mm_12,8,0.0,0,0
drill_4mm_12,9,0.0,0,0
drill_4mm_12,10,1.5963205099105835,0,0
drill_4mm_12,11,2.232520818710327,0,0
drill_4mm_12,12,2.6179635524749756,0,0
drill_4mm_12,13,3.6308469772338867,0,0
drill_4mm_12,14,6.02895975112915,0,0
drill_4mm_12,15,7.61551570892334,0,0
drill_4mm_12,16,8.739399909973145,0,0
drill_4mm_12,17,9.733808517456055,0,0
drill_4mm_12,18,11.084346771240234,1,0
drill_4mm_12,19,12.851275444030762,1,0
drill_4mm_12,20,14.94139575958252,1,0
drill_4mm_12,21,16.14984130859375,1,0
drill_4mm_12,22,18.14189910888672,1,0
drill_4mm_12,23,19.395206451416016,1,0
drill_4mm_12,24,18.626026153564453,1,0
drill_4mm_12,25,19.837839126586914,1,0
drill_4mm_12,26,21.3828125,1,0
drill_4mm_12,27,21.621944427490234,1,0
drill_4mm_12,28,22.846242904663086,1,0
drill_4mm_12,29,24.348316192626953,1,0
drill_4mm_12,30,24.4173641204834,1,0
drill_4mm_12,31,24.98814582824707,1,0
drill_4mm_12,32,24.622264862060547,1,0
drill_4mm_12,33,22.53540802001953,1,0
drill_4mm_12,34,21.991796493530273,1,0
drill_4mm_12,35,21.317073822021484,1,0
drill_4mm_12,36,20.779024124145508,1,0
drill_4mm_12,37,20.6627140045166,1,1
drill_4mm_12,38,18.42873764038086,1,1
drill_4mm_12,39,16.586408615112305,1,1
drill_4mm_12,40,14.602126121520996,1,1
drill_4mm_12,41,16.032106399536133,1,1
drill_4mm_12,42,16.542055130004883,1,1
drill_4mm_12,43,16.194658279418945,1,1
drill_4mm_12,44,15.771739959716797,1,1
drill_4mm_13,1,0.0,0,0
drill_4mm_13,2,0.0,0,0
drill_4mm_13,3,0.0,0,0
drill_4mm_13,4,0.0,0,0
drill_4mm_13,5,0.0,0,0
drill_4mm_13,6,0.0,0,0
drill_4mm_13,7,0.0,0,0
drill_4mm_13,8,0.0,0,0
drill_4mm_13,9,0.0,0,0
drill_4mm_13,10,2.224287748336792,0,0
drill_4mm_13,11,2.707895278930664,0,0
drill_4mm_13,12,4.300649642944336,0,0
drill_4mm_13,13,5.586273670196533,0,0
drill_4mm_13,14,7.365682601928711,0,0
drill_4mm_13,15,7.157932281494141,0,0
drill_4mm_13,16,8.869943618774414,0,0
drill_4mm_13,17,21.01079750061035,0,0
drill_4mm_13,18,11.611720085144043,1,0
drill_4mm_13,19,13.269487380981445,1,0
drill_4mm_13,20,15.37804126739502,1,0
drill_4mm_13,21,16.07694435119629,1,0
drill_4mm_13,22,18.644001007080078,1,0
drill_4mm_13,23,19.703758239746094,1,0
drill_4mm_13,24,22.684673309326172,1,0
drill_4mm_13,25,22.711450576782227,1,0
drill_4mm_13,26,22.46724510192871,1,0
drill_4mm_13,27,22.362003326416016,1,0
drill_4mm_13,28,24.169870376586914,1,0
drill_4mm_13,29,23.238550186157227,1,0
drill_4mm_13,30,25.109251022338867,1,0
drill_4mm_13,31,24.635295867919922,1,0
drill_4mm_13,32,23.26102066040039,1,1
drill_4mm_13,33,93.7105484008789,1,1
