drill,hole,hybrid_mse,adaptive_threshold,prediction,label,drill_lead_time
drill_4mm_05_batch_00_collet_1_30-01-2025,84,113.26217,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,85,128.06573,0.0026423507,1.0,0,91
drill_4mm_05_batch_00_collet_1_30-01-2025,86,133.41014,0.0026423507,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,87,83.10018,0.0026423507,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,88,91.92383,0.0026423507,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,89,131.40425,0.0026423507,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,90,48.560368,0.0026423507,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,91,83.074356,0.0026423507,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,92,49.382965,0.0026423507,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,93,35.353516,0.0026423507,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,94,56.147194,0.0026423507,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,95,140.99466,0.0026423507,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,96,50.794933,0.0026423507,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,97,87.36613,0.0026423507,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,98,151.11806,0.0026423507,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,99,134.13416,0.0026423507,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,100,140.28285,0.0026423507,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,101,152.5359,0.0026423507,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,102,138.35312,0.0026423507,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,103,164.06935,0.0026423507,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,104,112.578995,0.0026423507,1.0,1,91
drill_4mm_05_batch_00_collet_1_30-01-2025,105,142.34949,0.0026423507,1.0,1,91
